83,,,8,45.768135,4.879158,"Rue Anatole France, Angle Avenue Barbusse",,,10079,"Anatole France / Barbusse","anatole france barbusse"
84,,,8,45.77543,4.880286,"Rue Alexis Perroncel,  ",,,10080,Vaillant/Perroncel,"vaillant perroncel"
85,,,8,45.777803,4.883979,"Rue des bienvenus,  ",,,10083,"Château Gaillard / Filature /","chateau gaillard filature"
86,,,8,45.783638,4.871665,"Avenue des Arts,  ",,,10084,"DOUA / Avenue des Arts","doua avenue des arts"
87,,,8,45.76984,4.889523,"Rue Anatole France, Angle Rue De Pressensé / Flachet",,,10086,"Anatole France / Pressensé","anatole france pressense"
88,,,8,45.760538,4.900666,"74 Rue Pierre Baratin,  ",,,10087,"Bon Coin","bon coin"
89,,,8,45.766247,4.897868,"Cours emile zola,  ",,,10088,"4 août 1789 / Zola","4 aout 1789 zola"
90,,,8,45.773142,4.874254,"Rue colin,  ",,,10089,"Colin /Ottavi","colin ottavi"
91,,,8,45.774755,4.888035,"Rue louis fort,  ",,,10091,"Château Gaillard / Dupeuble","chateau gaillard dupeuble"
92,,,8,45.771583,4.890404,"135 Rue Château Gaillard,  ",,,10092,"Montgolfier / Château Gaillard","montgolfier chateau gaillard"
93,,,8,45.779478,4.874328,"Bd 11 nov 1918,  ",,,10101,"Einstein / 1 novembre 1918","einstein 1 novembre 1918"
94,,,8,45.780949,4.871323,"Avenue Gaston Berger,  ",,,10102,"DOUA / Gaston Berger","doua gaston berger"
95,,,8,45.78449,4.877401,"Rue des Arts,  ",,,10103,"DOUA / Rue des sports","doua rue des sports"
96,,,8,45.759617,4.882815,"Rue Hauy,  ",,,10110,"Mémoire & Société","memoire societe"
97,,,8,45.770338,4.862254,"95, Cours Vitton,  ",,,10111,"Charles Hernu / Vitton","charles hernu vitton"
98,,,8,45.75454,4.885135,"109 Route de Genas,  ",,,10112,"Place de la Reconnaissance","place de la reconnaissance"
99,,,8,45.755771,4.891486,"52, Rue du Poizat,  ",,,10113,"Gare de Villeurbanne","gare de villeurbanne"
100,,,8,45.758089,4.910619,"Avenue de Bel Air,  ",,,10114,"Bel Air / Les Brosses","bel air les brosses"
101,,,8,45.754102,4.90566,"143, Avenue Paul Kruger,  ",,,10115,"Place d'Espagne","place d espagne"
102,,,8,45.760615,4.906207,"171 Rue Léon Blum,  ",,,10116,"Blum / Faïs","blum fais"
103,,,8,45.764568,4.89233,"171 Rue Léon Blum,  ",,,10117,"La Pérralière","la perraliere"
104,,,8,45.767158,4.900596,"92 Rue Voyant,  ",,,10118,"Bourgchanin / Chambfort","bourgchanin chambfort"
105,,,8,45.776497,4.901319,"13 Rue Saint Jean,  ",,,10119,"Saint Jean","saint jean"
106,,,8,45.765816,4.836892,"Rue de la Bourse, Long Du Collège-Lycée Ampère",,,1012,"Ampère",ampere
107,,,8,45.776256,4.871626,"39 Rue Roger Salengro,  ",,,10120,"Salengro / Descartes","salengro descartes"
108,,,8,45.771929,4.879056,"34 Rue Billon,  ",,,10121,"Parc du Centre","parc du centre"
109,,,8,45.784056,4.897082,"13 Rue de Verdun,  ",,,10122,Verdun/Desgrand,"verdun desgrand"
110,,,8,45.768213,4.827589,"Rue de la Martinière, Au Niveau De La Place Saint Vincent",,,1013,"Martinière",martiniere
111,,,8,45.765941,4.831246,"6 Rue de la Platière, Angle Quai De La Pêcherie",,,1016,"Pêcherie / Platière","pecherie platiere"
112,,,8,45.766892,4.832908,"11 Rue Chenavard, Côté Place Des Terreaux",,,1020,"Terreaux / Chenavard","terreaux chenavard"
113,,,8,45.76692,4.834285,"3 Rue Herriot, Angle Rue Pizay",,,1021,"Terreaux / Herriot","terreaux herriot"
114,,,8,45.769609,4.837655,"Place Tolozan, Angle Nord-Est De La Place",,,1022,"Place Tolozan","place tolozan"
115,,,8,45.772289,4.819485,"Boulevard de la Croix Rousse,  ",,,1023,"Croix Rousse / Duplat","croix rousse duplat"
116,,,8,45.769667,4.824631,"Place Rouville,  ",,,1024,Rouville,rouville
117,,,8,45.768039,4.831724,"Place de la Paix, En Face De La Poste",,,1031,"Place de la Paix","place de la paix"
118,,,8,45.767205,4.836388,"17 Rue Pizay,  ",,,1032,Pizay,pizay
119,,,8,45.770072,4.82922,"Montée des Carmélites,  ",,,1034,"Carmélites / Burdeau","carmelites burdeau"
120,,,8,45.772206,4.837908,"3 Quai André Lassagne,  ",,,1035,"Quai Lassagne","quai lassagne"
121,,,8,45.774321,4.832606,"44 Bd de la Croix Rousse,  ",,,1036,Aveyron,aveyron
122,,,3,45.764592,4.90897,"1 Boulevard Laurent Bonnevay Interieur, Villeurbanne",,,1222,"Agence Bonnevay","agence bonnevay"
123,,,4,45.691006,4.9471,"1 Rue Du 8 Mai 1945, Saint-Priest",,,1246,"Papeterie CADIN Francis","papeterie cadin francis"
124,,,4,45.692062,4.95542,"8 Rue Henri Alain Fournier, Saint-Priest",,,1247,"Papeterie EHMADALY Fakhroudine","papeterie ehmadaly fakhroudine"
125,,,4,45.6945,4.937767,"1 Boulevard Edouard Herriot, Saint-Priest",,,1248,"Tabac EKMEKTCHIAN","tabac ekmektchian"
126,,,4,45.699432,4.942999,"18 Rue Grande, Saint-Priest",,,1249,"Tabac JACOB Michel","tabac jacob michel"
127,,,4,45.7575,4.72591,"1 Place Georges Pompidou, Saint-Genis-Les-Ollieres",,,1250,"Tabac PHILIS Jacqueline","tabac philis jacqueline"
128,,,4,45.695048,4.793506,"107 Avenue Georges Clemenceau, Saint-Genis-Laval",,,1251,"Tabac BANOS Jacques","tabac banos jacques"
129,,,4,45.82066,4.896986,"2968 Route De Strasbourg, Rillieux-La-Pape",,,1253,"Papeterie MARTIN Nicolas","papeterie martin nicolas"
130,,,4,45.813597,4.893716,"9 Avenue De L Europe, Rillieux-La-Pape",,,1254,"Multiservice P.I.M.M.S Rillieux","multiservice p i m m s rillieux"
131,,,4,45.706113,4.815378,"61 Rue Paul Vaillant Couturier, Pierre-Benite",,,1257,"Tabac GUINET Gilles","tabac guinet gilles"
132,,,4,45.711548,4.812014,"40 Rue Louis Auguste Blanqui, Oullins",,,1259,"Papeterie THOLLET G‚rard","papeterie thollet g rard"
133,,,4,45.719972,4.798692,"82 Boulevard Emile Zola, Oullins",,,1260,"Papeterie CLUZEL Ang‚lique","papeterie cluzel ang lique"
134,,,4,45.718575,4.809906,"44 Rue Grande, Oullins",,,1261,"Tabac BEQIRAJ","tabac beqiraj"
135,,,4,45.713117,4.804443,"172 Rue Grande, Oullins",,,1262,"Tabac MULLER Thierry","tabac muller thierry"
136,,,4,45.865599,4.831083,"2 Place Verdun, Albigny-Sur-Saone",,,1263,"Tabac CHOLLET Patricia","tabac chollet patricia"
137,,,4,45.876691,4.838732,"4 Quai Pasteur, Neuville-Sur-Saone",,,1264,"Papeterie PASTORE","papeterie pastore"
138,,,4,45.693848,4.855462,"3 Place Des Palabres, Saint-Fons",,,1267,"Multiservice PS St FONS Les Clochettes","multiservice ps st fons les clochettes"
139,,,4,45.731369,4.859316,"122 Rue Pierre Delore, Lyon 8eme",,,1268,"Tabac FALZONE Michel","tabac falzone michel"
140,,,4,45.744406,4.87047,"12 Place Ambroise Courtois, Lyon 8eme",,,1270,"Papeterie PETIT Serge","papeterie petit serge"
141,,,4,45.736966,4.869042,"7 Place Du 11 Novembre 1918, Lyon 8eme",,,1271,"Tabac DUMONT Gerard","tabac dumont gerard"
142,,,4,45.729774,4.853311,"159 Rue Challemel Lacour, Lyon 8eme",,,1272,"Tabac MEBARKI  Faouzi","tabac mebarki faouzi"
143,,,4,45.728961,4.88509,"34 Rue De Narvik, Lyon 8eme",,,1273,"Multiservice P.I.M.M.S MERMOZ","multiservice p i m m s mermoz"
144,,,4,45.663,4.955865,"11 Rue Du 11 Novembre 1918, Mions",,,1274,"Tabac DE OLIVEIRA Antonio","tabac de oliveira antonio"
145,,,4,45.764861,5.010368,"102 Rue De La Republique, Meyzieu",,,1275,"Tabac NASRI Ahlam","tabac nasri ahlam"
146,,,4,45.777683,4.993824,"78 Avenue De Verdun, Meyzieu",,,1276,"Tabac LE ROJA","tabac le roja"
147,,,4,45.800644,4.826039,"31 Rue Hector Berlioz, Lyon 9eme",,,1277,"Tabac FERRE Joelle","tabac ferre joelle"
